id,name,category_code,Operating,Acquired,IPO,Closed,Closed_date,country_code,region,first_funding_date,last_funding_date,funding_rounds,funding_total_usd,emp_engineering_degrees,emp_cs_degrees,emp_business_degrees,emp_matphy_degrees,emp_law_degrees,emp_social_degrees,emp_top_uni_degrees,emp_top_business_degrees,f_engineering_degrees,f_cs_degrees,f_business_degrees,f_matphy_degrees,f_law_degrees,f_social_degrees,f_top_uni_degrees,f_top_business_degrees,emp_big_5_people,emp_mbb_people,emp_industry_people,emp_successful_startup_people,emp_failed_startup_people,emp_succesful_founders,emp_failed_founders,f_big_5_people,f_mbb_people,f_industry_people,f_successful_startup_people,f_failed_startup_people,f_succesful_founders,f_failed_founders,founded_date
1,Wetpaint,web,1,0,0,0,,USA,Seattle,2005,2008,3,39750000,2,1,11,2,0,0,6,5,1,1,1,1,0,0,3,0,1,0,9,4,1,0,0,0,0,1,0,0,0,0,2005
2,AdventNet,enterprise,1,0,0,0,,USA,SF Bay,,,0,0,1,2,2,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1996
3,Zoho,software,1,0,0,0,,USA,SF Bay,,,0,0,2,4,4,2,0,1,3,2,1,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2005
4,Digg,news,0,1,0,0,,USA,SF Bay,2005,2011,4,45000000,2,16,11,3,0,1,13,5,0,0,0,0,0,0,0,0,7,0,0,31,1,12,0,1,0,0,1,0,1,0,2004
5,Facebook,social,0,0,1,0,,USA,SF Bay,2004,2011,11,2425700000,36,105,76,15,3,6,148,40,0,2,1,0,0,1,5,0,140,4,12,93,6,24,4,4,0,0,1,0,1,0,2004
6,Omnidrive,network_hosting,0,0,0,1,2008,ISR,SF Bay,2006,2006,1,800000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,2005
7,Geni,web,0,1,0,0,,USA,Los Angeles,2007,2009,3,16500000,0,2,0,0,1,0,4,0,0,0,1,0,1,0,3,0,0,0,1,6,0,0,0,0,0,1,3,0,2,1,2006
8,Twitter,social,0,0,1,0,,USA,SF Bay,2007,2011,8,1160166511,11,36,18,19,1,2,65,16,0,0,0,0,0,0,0,0,26,0,9,61,9,10,1,0,0,0,2,0,4,0,2006
9,StumbleUpon,web,0,1,0,0,,USA,SF Bay,2001,2011,4,18500000,2,4,4,0,2,2,13,1,4,0,0,0,0,0,0,0,5,0,10,12,3,0,0,0,0,0,1,0,1,0,2002
10,Gizmoz,web,0,1,0,0,,USA,SF Bay,2007,2009,3,18100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2003
